country;year;experts;party_id;party;vote;seat;electionyear;family;govt;position;eu_salience;eu_dissent;eu_asylum;eu_budgets;lrgen;lrecon;lrecon_clear;lrecon_salience;galtan;galtan_clear;galtan_salience;immigrate_policy;immigra_salience;immigrate_dissent;multiculturalism;multicult_salience;multicult_dissent;ethnic_minorities;galtan_new;galtan_new_clear;galtan_new_salience;people_vs_elite;antielite_salience;corrupt_salience;members_vs_leadership;party_name;eu_position;eu_budget;immigrate_salience;multiculture;multiculture_salience;multiculture_dissent
the first;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
four lines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contain only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nonsense;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
uk;2017;14;1105;SNP;3;54000001,00;2017;8. regionalist;0;67.142.859;79.285.712;19.285.715;56.363.635;51.999.998;33.571.429;35.714.285;68.461.537;69.230.771;23.846.154;7;55.384.617;23.571.429;49.230.771;33.846.154;Mar 25;43.333.335;26.363.637;36.666.667;29.230.769;66.666.665;05. May;71.666.665;52.307.692;38.333.333;56.999.998;;;;;;;
uk;2017;14;1106;Plaid;.5;.60000002;2017;8. regionalist;0;Jun 25;60.714.288;2.090.909;52.222.223;48.000.002;Mar 25;32.727.273;57.777.777;63.076.925;25.454.545;64.545.455;51.999.998;02. Aug;46.999.998;3;34.444.444;4;27.777.777;03. Aug;34.166.667;63.636.365;53.333.335;66.363.635;44.166.665;39.166.667;5;;;;;;;
uk;2017;14;1107;Greens;01. Jun;.1;2017;7. green;0;67.142.859;77.857.141;17.142.857;63.076.925;50.999.999;2;22.857.144;72.307.692;56.428.571;.84615386;86.153.851;76.923.075;14.285.715;64.285.712;29.285.715;16.153.846;51.538.463;16.363.636;28.333.333;.61538464;9.454.545;8.545.455;73.636.365;63.846.154;45.384.617;24.615.386;;;;;;;
uk;2017;14;1108;UKIP;01. Aug;0,00;2017;1. radical TAN;0;10.714.285;98.571.424;12.857.143;12.857.143;12.307.693;86.153.851;67.857.141;37.692.308;34.285.715;92.307.692;83.846.149;66.153.846;93.571.424;97.857.141;3;97.142.859;91.428.576;16.153.846;70.769.229;94.615.383;Sep 25;9.083.333;69.166.665;94.615.383;36.153.846;Jun 25;;;;;;;
uk;2017;14;1150;SF;.69999999;.1;2017;8. regionalist;0;54.545.455;60.833.335;29.000.001;47.142.859;3.875;2.909.091;24.000.001;5.875;53.846.154;4;59.000.001;47.777.777;37.142.856;4;36.666.667;4;45.714.288;Feb 75;42.857.141;03. Aug;5.125;4.875;56.666.665;Jun 75;03. Aug;58.333.335;;;;;;;
uk;2017;14;1151;DUP;.89999998;43952,00;2017;8. regionalist;0;25.833.333;06. May;02. Jul;2.875;24.444.444;8.666.667;7.181.818;55.555.553;49.230.771;93.846.149;87.692.308;76.923.075;81.999.998;64.444.447;03. May;83.000.002;64.444.447;2;62.222.223;90.769.234;9;8.636.364;4;43.333.335;25.999.999;8;;;;;;;
por;2017;12;1201;CDU/PCP-PEV;86.000.004;74000001,00;2015;6. radical left;0;25.454.545;6;12.727.273;55.555.553;15.454.545;16.666.666;10.833.334;09. May;9.333.333;46.666.665;75.454.545;4;Mar 25;34.166.667;16.666.666;4;43.636.365;1.875;34.545.455;46.666.665;68.333.335;4;43.333.335;54.166.665;55.833.335;8.416.667;;;;;;;
por;2017;12;1202;CDS-PP;66.950.002;78260002,00;2015;2. conservative;0;5.909.091;67.272.725;21.818.182;04. May;46.363.635;78.333.335;76.666.665;70.833.335;8;Aug 25;77.272.725;52.727.275;59.166.665;48.333.335;26.666.667;67.272.725;51.999.998;Feb 75;55.454.545;8.166.667;7;45.454.545;Mar 25;29.166.667;45.833.335;78.333.335;;;;;;;
por;2017;12;1205;PS;33.599.998;37400002,00;2015;5. socialist;1;65.454.545;7.818.182;02. Jul;63.636.365;5.090.909;38.333.333;Mar 75;07. May;8.916.667;30.833.333;7;05. May;31.666.667;43.333.335;26.666.667;37.272.727;4.818.182;3.125;34.545.455;Mar 75;65.833.335;49.166.665;Mar 25;23.333.333;41.666.665;73.333.335;;;;;;;
por;2017;12;1206;PSD;33.105;38695999,00;2015;3. liberal;0;65.454.545;73.636.365;22.727.273;5;54.000.001;Jun 75;Jul 25;68.333.335;8.416.667;69.166.665;6.181.818;44.545.455;48.333.335;40.833.335;34.444.444;6.181.818;46.999.998;3.625;55.454.545;63.333.335;Jun 25;38.181.818;Feb 75;2;35.833.333;73.333.335;;;;;;;
por;2017;12;1208;BE/O Bloco;10. Jun;83000002,00;2015;6. radical left;0;3;56.363.635;31.818.182;7;2;15.833.334;1;8.833.333;8.916.667;.58333331;9.090.909;71.666.665;1;50.833.335;15.555.556;18.181.819;55.454.545;1.625;12.727.273;.83333331;8.083.333;70.833.335;64.166.665;61.666.665;73.333.335;53.333.335;;;;;;;
por;2017;12;1209;MPT;.40000001;0,00;2015;7. green;0;4;48.888.888;Mar 75;Jun 75;2;46.666.665;03. May;2.625;63.636.365;4;05. May;05. May;3;37.142.856;Feb 75;41.999.998;36.666.667;2;35.999.999;03. May;07. May;6;6;5.625;78.000.002;Apr 75;;;;;;;
por;2017;12;1250;PAN;01. Apr;.40000001;2015;7. green;0;45.999.999;48.000.002;26.666.667;64.000.001;02. May;34.166.667;32.727.273;36.666.667;5;13.333.334;7.181.818;8.090.909;Feb 25;38.888.888;02. May;28.571.429;4;23.333.333;3;15.833.334;8.636.364;07. May;7;46.999.998;67.142.859;41.999.998;;;;;;;
por;2017;12;1251;PDR;Jan 15;0,00;2015;3. liberal;0;03. May;52.222.223;Mar 75;6;2;45.454.545;38.571.429;3.375;6.818.182;04. May;42.857.141;38.333.333;4;04. May;26.666.667;51.999.998;4;2;33.333.333;May 75;68.000.002;04. May;52.857.141;75.555.553;81.111.107;78.333.335;;;;;;;
swe;2017;18;1601;V;56.999.998;6,00;2014;6. radical left;0;24.705.882;Mar 75;30.666.666;45.625;13.888.888;15.555.556;12.352.941;86.111.107;73.888.888;18.888.888;80.555.553;67.777.777;18.333.334;76.666.665;3;18.888.888;66.111.112;22.222.223;01. May;02. May;83.888.893;71.111.112;51.764.708;50.555.553;19.411.764;47.222.223;;;;;;;
swe;2017;18;1602;SAP;31;32400002,00;2014;5. socialist;1;57.647.057;44.705.882;44.375;66.111.112;33.888.888;38.888.888;34.705.882;69.444.447;77.222.223;44.117.646;05. May;05. May;66.666.665;7.647.059;74.444.447;49.444.447;72.777.777;56.666.665;40.666.666;05. May;53.333.335;06. May;21.176.472;19.444.444;22.352.941;68.333.335;;;;;;;
swe;2017;18;1603;C;60.999.999;63000002,00;2014;11. agrarian/center;0;5.647.059;4;34.375;62.222.223;32.941.177;68.888.888;78.823.528;76.666.665;06. May;22.222.223;77.777.777;75.555.553;33.333.333;80.555.553;37.222.223;38.888.888;76.666.665;32.222.223;32.666.667;37.222.223;76.111.112;8;37.647.059;21.666.667;2;59.444.447;;;;;;;
swe;2017;18;1604;FP;54.000.001;54000001,00;2014;3. liberal;0;69.375;62.352.943;14.375;06. May;53.333.335;65.555.553;71.176.472;69.444.447;65.555.553;31.666.667;68.333.335;61.111.112;58.888.888;71.666.665;46.111.112;56.666.665;71.111.112;38.333.333;40.666.666;49.444.447;71.111.112;71.666.665;32.941.177;2;20.588.236;64.444.447;;;;;;;
swe;2017;18;1605;M;23.299.999;43854,00;2014;2. conservative;0;61.764.708;45.882.354;26.875;61.666.665;34.444.444;79.444.447;84.117.651;76.666.665;8;58.888.888;56.111.112;66.666.665;75.555.553;86.111.107;59.444.447;71.111.112;81.111.107;45.555.553;52.666.669;70.555.553;62.222.223;78.333.335;25.882.354;19.444.444;22.941.177;7.352.941;;;;;;;
swe;2017;18;1606;KD;45.999.999;45999999,00;2014;4. Christian-democratic;0;57.647.057;37.058.823;29.333.334;61.666.665;34.444.444;78.333.335;7.647.059;62.222.223;59.444.447;70.555.553;72.222.223;07. May;75.555.553;78.888.888;62.777.777;75.294.118;76.666.665;38.823.528;56.666.665;80.555.553;73.333.335;82.777.777;33.529.413;34.444.444;19.411.764;64.444.447;;;;;;;
swe;2017;18;1607;MP;69.000.001;71999998,00;2014;7. green;1;41.176.472;4;Apr 25;61.666.665;26.666.667;31.176.472;36.470.587;04. May;43.333.335;16.111.112;8;8;25.555.556;8.333.333;51.666.665;2;72.777.777;47.222.223;18.666.667;16.666.666;82.222.223;87.222.223;07. May;34.444.444;2;41.111.112;;;;;;;
swe;2017;18;1610;SD;12. Sep;14,00;2014;1. radical TAN;0;14.705.882;55.882.354;18.666.667;16.111.112;10.555.556;8;59.411.764;35.555.556;37.777.777;89.444.447;8.833.333;92.222.223;98.888.893;99.444.447;01. May;99.444.447;93.888.893;.44444445;94.705.887;94.444.447;95.555.553;95.555.553;71.999.998;87.222.223;28.823.528;9;;;;;;;
swe;2017;18;1611;PIRAT;.40000001;0,00;2014;9. no family;0;34.000.001;63.333.335;3;4;16.666.666;45.999.999;53.333.335;02. Feb;65.882.354;1;71.428.571;6;.66666669;01. Apr;3;02. May;13.333.334;2;2;18.571.428;04. May;05. May;82.857.141;07. May;04. May;16.666.666;;;;;;;
